_id,id,category,cost_price,created_at,date,invoice_no,name,notes,qty,sku,supplier,total_cost,unit,item_id,item_name,item_sku,_migrated_at,_migrated_from
"6a89a24a3fb8c43ecce7bf13","in_rep_37_1785854327201","","0.78","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","500","","Egra Supplier","0","g","stk_38","Starful (Star Anise)","J038","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf14","in_rep_38_1785854327201","","0.8","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","450","","Egra Supplier","0","g","stk_39","Rose Petals","J039","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf15","in_rep_39_1785854327201","","230","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","5","","Egra Supplier","0","packet","stk_40","Shahi Jeera","J040","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf16","in_rep_40_1785854327201","","0.78","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","900","","Egra Supplier","0","g","stk_41","Black Pepper (Gol Morich)","J041","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf17","in_rep_41_1785854327201","","590","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","3","","Egra Supplier","0","box","stk_42","Pure Ghee","J042","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf18","in_rep_42_1785854327201","","80","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","1","","Egra Supplier","0","box","stk_43","Baking Powder","J043","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf19","in_rep_43_1785854327201","","145","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","3","","Egra Supplier","0","box","stk_44","Mushroom","J044","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf1a","in_rep_44_1785854327201","","14","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","30","","Egra Supplier","0","packet","stk_46","Papad","J046","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf1b","in_1785948630433","","0","2026-08-05T16:50:30.433Z","05-08-2026","","","","2","","","0","packet","stk_125","Vim Liquid Dishwash","J125","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf1c","in_rep_45_1785854327201","","25","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","2","","Egra Supplier","0","kg","stk_49","Black Salt (Bit Nun)","J049","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf1d","in_rep_46_1785854327201","","10.4","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","25","","Egra Supplier","0","pcs","stk_50","Regular Salt","J050","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf1e","in_rep_47_1785854327201","","0.18","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","1500","","Egra Supplier","0","g","stk_51","Dhania (Coriander Seeds)","J051","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf1f","in_rep_48_1785854327201","","30","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","2","","Local Dairy Farm","0","packet","stk_54","Milk (দুধ)","J054","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf20","in_rep_49_1785854327201","","60","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","4","","Local Dairy Farm","0","kg","stk_55","Dahi (দই / Curd)","J055","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf21","in_rep_50_1785854327201","","40","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","150","","Amul Dairy Egra","0","g","stk_56","Paneer (পনির)","J056","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf22","in_rep_51_1785854327201","","60","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","1","","Amul Dairy Egra","0","packet","stk_57","Butter","J057","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
