_id,id,category,cost_price,is_available,min_qty,name,qty,sku,supplier,unit,updated_at,_migrated_at,_migrated_from,current_stock
"6a899fa13fb8c43ecce7becb","stk_114","Packaging & Carry Bags","400","false","0.1","Rubber Band Big (Gardar)","0.25","J114","Egra Supplier","kg","2026-08-05T15:19:20.330Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7becc","stk_113","Packaging & Carry Bags","400","false","0.1","Rubber Band Small (Gardar)","0.25","J113","Egra Supplier","kg","2026-08-05T15:19:08.535Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7becd","stk_118","Packaging & Carry Bags","65","true","1","6x8 SP Pouch","2","J118","Egra Supplier","pcs","2026-08-11T14:38:23.370Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bece","stk_111","Packaging & Carry Bags","85","true","2","16x20 Carry Bag","9","J111","Egra Supplier","packet","2026-08-11T14:38:38.464Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7becf","stk_121","Packaging & Carry Bags","380","false","1","Silver Roll Foil","1","J121","Egra Supplier","packet","2026-08-05T15:20:46.883Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed0","stk_122","Packaging & Carry Bags","154","false","1","plastic Hand Gloves","2","J122","Egra Supplier","packet","2026-08-05T15:21:28.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed1","stk_119","Packaging & Carry Bags","130","false","1","Plastic Spoon","2","J119","Egra Supplier","packet","2026-08-05T15:47:02.934Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed2","stk_123","Packaging & Carry Bags","80","false","1","Chef Cap","2","J123","Egra Supplier","packet","2026-08-05T15:21:59.399Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed3","stk_1785942899649","Packaging & Carry Bags","314","true","1","rabar hand glove","3","J135","","packet","2026-08-05T15:14:59.649Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed4","stk_73","Cold Drinks","30","true","10","Sprite 500ml","28","J073","Egra Supplier","pcs","2026-08-14T17:38:34.207Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed5","stk_108","Packaging & Carry Bags","15","true","5","Tissue Paper","17","J108","Egra Supplier","packet","2026-08-12T16:06:25.861Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed6","stk_125","Cleaning & Washings","200","false","1","Vim Liquid Dishwash","2","J125","Egra Supplier","packet","2026-08-05T16:50:30.433Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed7","stk_74","Cold Drinks","0","false","24","Sprite 1L","0","J074","Egra Supplier","pcs","2026-08-14T17:39:08.517Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed8","stk_126","Cleaning & Washings","80","false","2","Surf Excel Detergent","3","J126","Egra Supplier","packet","2026-08-05T16:42:50.274Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bed9","stk_127","Cleaning & Washings","100","false","1","Hand Wash Liquid","2","J127","Egra Supplier","packet","2026-08-05T16:45:30.748Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7beda","stk_128","Cleaning & Washings","130","false","1","Harpic Toilet Cleaner","1","J128","Egra Supplier","packet","2026-08-05T16:50:13.538Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa23fb8c43ecce7bedb","stk_129","Cleaning & Washings","90","false","1","Phenyl (Finaile)","1","J129","Egra Supplier","packet","2026-08-05T16:49:51.761Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bedc","stk_90","Ice Cream","0","false","20","Rs 10 Cone","0","J090","Egra Supplier","pcs","2026-08-06T17:21:30.634Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bedd","stk_95","Ice Cream","0","false","20","Rs 30 Cone","0","J095","Egra Supplier","pcs","2026-08-06T17:22:33.610Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bede","stk_93","Ice Cream","0","false","20","Rs 20 Stick","0","J093","Egra Supplier","pcs","2026-08-06T17:36:18.897Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bedf","stk_85","Fresh Vegetables","2","true","15","Lemon (লেবু)","30","J085","Egra Supplier","pcs","2026-08-19T15:44:18.856Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bee0","stk_109","Packaging & Carry Bags","27","false","2","Raita Pouch","9","J109","Egra Supplier","packet","2026-08-20T16:08:02.547Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bee1","stk_1785945290174","Cold Drinks","20","true","5","CAMPA JEERA","0","J138","","pcs","2026-08-21T16:46:27.208Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bee2","stk_76","Fresh Vegetables","33","true","12","Onion (পেঁয়াজ)","27.2","J076","Egra Supplier","kg","2026-08-21T16:54:55.979Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bee3","stk_83","Fresh Vegetables","40","true","1","Tomato (টমেটো)","2.25","J083","Egra Supplier","kg","2026-08-21T16:56:57.708Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bee4","stk_84","Fresh Vegetables","30","true","2","Cabbage (বাঁধাকপি)","3.48","J084","Egra Supplier","kg","2026-08-21T16:57:30.507Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa33fb8c43ecce7bee5","stk_78","Fresh Vegetables","150","true","1","Garlic (রসুন)","2.3","J078","Egra Supplier","kg","2026-08-19T13:27:24.882Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa43fb8c43ecce7bee6","stk_81","Fresh Vegetables","60","true","1","Beans","0.4","J081","Egra Supplier","kg","2026-08-19T13:30:17.066Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
